Altium Designer Pick and Place Locations
D:\Users\User\Documents\GitHub\RB2_My\RB2_My\.\Assembly\Pick Place for PCB_RB2_My.csv

========================================================================================================================
File Design Information:

Date:       26.07.23
Time:       12:20
Revision:   7386d7af824f33d5b43e68b8b191e4fe84f22e69
Variant:    No variations
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"X9","TopLayer","PLS3","103.3454","79.1992","0",""
"X8","TopLayer","PLS3","130.1232","3.7860","0",""
"X7","TopLayer","PLS3","130.0200","166.0000","0",""
"X1","TopLayer","СНП268-25РП32-1-4-В","11.1800","134.5000","270",""
"R19","TopLayer","RESC1608X05N_(0603)","178.6000","159.5000","0","Резистор"
"R18","TopLayer","RESC1608X05N_(0603)","178.6000","155.9000","0","Резистор"
"R17","TopLayer","RESC1608X05N_(0603)","178.6000","152.3000","0","Резистор"
"R16","TopLayer","RESC1608X05N_(0603)","178.6000","148.7000","0","Резистор"
"R15","TopLayer","RESC1608X05N_(0603)","178.6000","145.1000","0","Резистор"
"R14","TopLayer","RESC1608X05N_(0603)","178.6000","141.5000","0","Резистор"
"R13","TopLayer","RESC1608X05N_(0603)","178.6000","137.9000","0","Резистор"
"R12","TopLayer","RESC1608X05N_(0603)","178.6000","134.3000","0","Резистор"
"R11","TopLayer","RESC1608X05N_(0603)","178.6000","130.7000","0","Резистор"
"R10","TopLayer","RESC1608X05N_(0603)","178.6000","161.3000","0","Резистор"
"R9","TopLayer","RESC1608X05N_(0603)","178.6000","157.7000","0","Резистор"
"R8","TopLayer","RESC1608X05N_(0603)","178.6000","154.1000","0","Резистор"
"R7","TopLayer","RESC1608X05N_(0603)","178.6000","150.5000","0","Резистор"
"R6","TopLayer","RESC1608X05N_(0603)","178.6000","146.9000","0","Резистор"
"R5","TopLayer","RESC1608X05N_(0603)","178.6000","143.3000","0","Резистор"
"R4","TopLayer","RESC1608X05N_(0603)","178.6000","139.7000","0","Резистор"
"R3","TopLayer","RESC1608X05N_(0603)","178.6000","136.1000","0","Резистор"
"R2","TopLayer","RESC1608X05N_(0603)","178.6000","132.5000","0","Резистор"
"R1","TopLayer","RESC1608X05N_(0603)","178.6000","128.9000","0","Резистор"
"C15","TopLayer","CAPC3419X15N(1206)","134.0250","64.7000","270","Керамический конденсатор"
"ZQ1","TopLayer","РК456","121.6500","79.9000","180","Кварцевый резонатор"
"X6","TopLayer","СНП268-9ВП32-1-4-В","79.9800","26.7000","270",""
"X5","TopLayer","СНП347-20ВП22-В","144.0700","56.0300","180",""
"X4","TopLayer","HYR-1149","50.0000","83.0000","0",""
"X3","TopLayer","HYR-1149","50.2000","65.1000","0",""
"X2","TopLayer","ГРПМ9-62ШУ2-В","191.6250","84.8000","90",""
"VT1","TopLayer","SOT100P230X95-3N_(2T368A9)","61.7250","63.3000","270","NPN транзистор"
