Name,Footprint,Quantity,Designator,Part Number

"2я133Юю0.339.092рс","2я127д-1","5","VD1, VD2, VD3, VD4, VD5",""
"2р368ю9Юю0.339.092рс","SOT100P230X95-3N (2T368A9)","1","VT1",""
"3к341аЮю0.339.189рс","3к341а","3","VD6, VD7, VD8",""
"1303ем3.3оюеъп.431420.638рс","йр-28ю-2.01","1","DA1",""
"1986бе92с","1986бе92с","1","DA2",""
"5559хм4с","5559хм4с","1","DD1",""
"DS1040-02RN","DS1040-02RN","1","SA1",""
"HYR-1149","HYR-1149","2","X3, X4",""
"цпол9-62ьс2-б","цпол9-62ьс2-б","1","X2",""
"й10-17Б-лон-22т10%-1нфн.460.107рс","CAPC1608X09N (0603)","2","C8, C9",""
"й10-17Б-м30-0,22ЛЙт-3нфн.460.107рс","CAPC3419X15N(1206)","5","C16, C17, C18, C19, C20",""
"й10-17Б-м90-0,1ЛЙт-3нфн.460.107рс","CAPC3419X15N(1206)","10","C3, C4, C5, C6, C7, C10, C11, C12, C13, C15",""
"й53-65-16б-100ЛЙтюфъп.673546.004рс","Chip2PinSM127P600-8N(E)","3","C1, C2, C14",""
"п1-12-0,1-0,155%","RESC1608X05N (0603)","7","R27, R30, R31, R33, R65, R66, R67",""
"п1-12-0,1-1,8ЙнЛ5%","RESC1608X05N (0603)","3","R32, R35, R36",""
"п1-12-0,1-1ЙнЛ5%","RESC1608X05N (0603)","1","R34",""
"п1-12-0,1-05%","RESC1608X05N (0603)","20","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R21",""
"п1-12-0,1-505%","RESC1608X05N (0603)","1","R22",""
"п1-12-0,125-0,155%","RESC1608X05N (0603)","1","R51",""
"п1-12-0,125-1Й5%","RESC1608X05N (0603)","4","R23, R48, R49, R50",""
"п1-12-0,125-10ЙнЛ5%","RESC1608X05N (0603)","24","R20, R26, R28, R29, R37, R38, R39, R44, R45, R46, R47, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64",""
"п1-12-0,125-560нЛ5%","RESC1608X05N (0603)","2","R24, R25",""
"п1-12-0,125-2705%","RESC1608X05N (0603)","4","R40, R41, R42, R43",""
"пй386-о-8др-8000йрс6321-004-07614320-96","пй456","1","ZQ1",""
"ямо268-9бо32-1-3-б","ямо268-9бо32-1-4-б","1","X6",""
"ямо268-25по32-1-3-б","ямо268-25по32-1-4-б","1","X1",""
"ямо347-20бо32-б","ямо347-20бо22-б","1","X5",""
